workload,threads,prompt_tokens,output_tokens,qwen35x_tps,llama_cpp_tps,qwen35x_speedup,throughput_gain_percent
pp512,8,512,0,2133.4728980187456,1101.7318062010718,1.9364720942161633,93.64720942161632
pp1024,8,1024,0,1938.1136097971644,1097.7965165544283,1.7654579701893902,76.54579701893903
pp2048,8,2048,0,1615.978364827158,1050.8032051344871,1.5378506241045742,53.78506241045742
pp4096,8,4096,0,1190.8331316873341,1000.6013379525157,1.1901174688853415,19.011746888534155
p512-out128,8,512,128,122.4227009089066,102.6339591364912,1.1928089098277763,19.28089098277763
p512-out256,8,512,256,121.92362197499723,103.64582943814695,1.1763485577367876,17.63485577367876
p512-out512,8,512,512,121.42434126522595,102.34917802093263,1.186373389734425,18.637338973442507
p512-out1024,8,512,1024,118.81033849239644,101.32908898829551,1.1725195566114306,17.251955661143057
pp512,12,512,0,1673.9706715107193,1028.321211394522,1.6278674921434542,62.78674921434542
pp1024,12,1024,0,1624.429129758098,997.5376212449015,1.628438963265217,62.8438963265217
pp2048,12,2048,0,1414.7899572295457,958.2155331791018,1.4764840562912318,47.64840562912318
pp4096,12,4096,0,1132.11991416342,885.6431068446676,1.2783026316287716,27.830263162877156
p512-out128,12,512,128,119.76228600742715,98.62904080073734,1.214270006431329,21.4270006431329
p512-out256,12,512,256,119.3366454946298,98.85232068033967,1.2072214862869088,20.722148628690885
p512-out512,12,512,512,118.35101233425996,97.22698923042707,1.2172650132543872,21.72650132543872
p512-out1024,12,512,1024,116.73314122686942,96.70605013468516,1.2070924318002028,20.709243180020277
