experiment,timestamp_utc,run_label,mode,cpu_gguf,cpu_q4_h128,cpu_threads,cpu_isa,teacher_forced,cpu_kv_cache,cpu_attention_kernel,cached_prefix_tokens,prefix_cache_restore_time_ms,prefix_cache_bytes,qwen35x_prefill_mode,qwen35x_prefill_kernel,qwen35x_weight_precision,qwen35x_cache_precision,qwen35x_decode_blocks_requested,prefill_only,run_index,prompt_name,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second,profile_json,qwen35x_profile_enabled,qwen35x_prefill_host_total_ms,qwen35x_prefill_gpu_total_ms,qwen35x_prefill_token_upload_ms,qwen35x_prefill_embed_ms,qwen35x_prefill_mark_seen_ms,qwen35x_prefill_final_norm_ms,qwen35x_prefill_lm_head_ms,qwen35x_prefill_lm_reduce_ms,qwen35x_prefill_hidden_handoff_ms,qwen35x_prefill_output_token_download_ms,qwen35x_prefill_deltanet_total_ms,qwen35x_prefill_deltanet_recurrence_ms,qwen35x_prefill_deltanet_flashqla_prepare_ms,qwen35x_prefill_deltanet_flashqla_consume_ms,qwen35x_prefill_deltanet_projection_ms,qwen35x_prefill_full_attention_total_ms,qwen35x_prefill_full_attention_attention_ms,qwen35x_prefill_full_attention_qk_ms,qwen35x_prefill_full_attention_softmax_ms,qwen35x_prefill_full_attention_pv_ms,qwen35x_prefill_full_attention_gate_ms,qwen35x_prefill_full_attention_qk_norm_rope_ms,qwen35x_prefill_full_attention_projection_ms,qwen35x_prefill_mlp_total_ms,qwen35x_decode_steps,qwen35x_decode_blocks,qwen35x_decode_max_safe_blocks,qwen35x_decode_host_total_ms,qwen35x_decode_seen_token_upload_ms,qwen35x_decode_launch_total_ms,qwen35x_decode_kernel_ms,qwen35x_decode_lm_head_ms,qwen35x_decode_output_token_download_ms
profile-overhead,2026-09-06T08:35:26.4691935Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,571.69,63.982,2000.562658,1020.9227,125.376779,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683724710.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:28.2962325Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,573.4111,105.6063,1212.048902,1025.2902,124.842703,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683726489.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:30.0373127Z,0-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,569.5954,64.5494,1982.977379,1014.619,126.155729,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683728299.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:33.4341730Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,570.2394,63.3197,2021.487783,1019.952,125.496102,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683731751.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:35.1152798Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,571.8424,63.3115,2021.749603,1015.0489,126.102299,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683733436.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:36.8051123Z,1-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,570.4519,63.4259,2018.103015,1025.1278,124.862481,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683735117.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:40.1848863Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,571.2251,63.1062,2028.326852,1013.4073,126.30657,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683738507.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:41.8861072Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,584.0658,63.4243,2018.153925,1022.5552,125.176616,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683740187.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:43.5628111Z,2-d128-candidate,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,571.0135,63.0583,2029.867599,1012.09,126.470966,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683741888.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:47.0790851Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,569.0833,70.9521,1804.033989,1019.3268,125.573074,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683745332.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:48.8477117Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,568.8915,62.9465,2033.47287,1033.4566,123.856193,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_2_1788683747081.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:50.5934144Z,3-d128-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,570.1105,63.0721,2029.423469,1021.2538,125.336131,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_3_1788683748849.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile-overhead,2026-09-06T08:35:52.4009560Z,4-p512-base,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,8,auto,False,fp16,mixed:rows+tiled-avx512-fp32,0,0,0,batched,default,bf16,bf16,0,True,1,p512,512,0,572.8552,229.4773,2231.157504,0,0,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\profile-overhead\profiles\run_cpu-h128_1_1788683751507.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
