run_label,prompt_name,cpu_isa,cpu_threads,cpu_kv_cache,teacher_forced,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second
fp16-block1,decode1,avx512-vnni,12,fp16,False,1,128,585.49,10.1608,98.417447,992.5231,128.964253
fp16-block1,decode1,avx512-vnni,12,fp16,False,1,128,570.0432,9.9232,100.773944,1011.0624,126.599506
fp16-block1,decode1,avx512-vnni,12,fp16,False,1,128,566.5392,10.1927,98.109431,998.843,128.148268
fp16-block1,decode128,avx512-vnni,12,fp16,False,128,128,567.0084,112.5799,1136.970276,1048.081,122.127965
fp16-block1,decode128,avx512-vnni,12,fp16,False,128,128,570.0667,111.4002,1149.010504,1011.4618,126.549515
fp16-block1,decode128,avx512-vnni,12,fp16,False,128,128,571.6531,113.567,1127.087974,1041.8194,122.861985
fp16-block1,prefill256,avx512-vnni,12,fp16,False,256,0,569.1232,222.1713,1152.264041,0,0
fp16-block1,prefill256,avx512-vnni,12,fp16,False,256,0,569.5078,217.7939,1175.423187,0,0
fp16-block1,prefill256,avx512-vnni,12,fp16,False,256,0,568.4276,216.6037,1181.881935,0,0
fp32-block2,decode1,avx512-vnni,12,fp32,False,1,128,566.4485,9.8728,101.288388,1003.4386,127.561367
fp32-block2,decode1,avx512-vnni,12,fp32,False,1,128,567.7515,9.8636,101.382862,1055.6934,121.247324
fp32-block2,decode1,avx512-vnni,12,fp32,False,1,128,580.2614,10.3761,96.375324,1043.4486,122.670154
fp32-block2,decode128,avx512-vnni,12,fp32,False,128,128,579.9408,117.4009,1090.28125,1041.3542,122.916871
fp32-block2,decode128,avx512-vnni,12,fp32,False,128,128,569.1209,113.6613,1126.152877,1034.8289,123.691946
fp32-block2,decode128,avx512-vnni,12,fp32,False,128,128,571.4747,116.599,1097.779569,1037.1809,123.411451
fp32-block2,prefill256,avx512-vnni,12,fp32,False,256,0,572.0864,229.5526,1115.21281,0,0
fp32-block2,prefill256,avx512-vnni,12,fp32,False,256,0,572.2204,223.2574,1146.658521,0,0
fp32-block2,prefill256,avx512-vnni,12,fp32,False,256,0,564.1762,222.759,1149.224049,0,0
fp32-block3,decode1,avx512-vnni,12,fp32,False,1,128,574.9829,10.2683,97.387104,1003.0172,127.61496
fp32-block3,decode1,avx512-vnni,12,fp32,False,1,128,569.3581,10.081,99.196508,1005.5907,127.288369
fp32-block3,decode1,avx512-vnni,12,fp32,False,1,128,570.8541,9.9378,100.625893,1059.2514,120.840057
fp32-block3,decode128,avx512-vnni,12,fp32,False,128,128,567.8886,114.7447,1115.519933,1040.0552,123.070391
fp32-block3,decode128,avx512-vnni,12,fp32,False,128,128,576.3425,144.8751,883.519666,1046.3001,122.335838
fp32-block3,decode128,avx512-vnni,12,fp32,False,128,128,571.4873,116.2532,1101.04496,1022.1992,125.220211
fp32-block3,prefill256,avx512-vnni,12,fp32,False,256,0,571.1484,232.2777,1102.129046,0,0
