case,prompt_tokens,variant,run,prefill_ms,prefill_tps,generated_tokens,decode_forward_steps,decode_ms,decode_tps,kernel,chunk
0,512,rows/auto/0/8/64/64,1,277.9004,1842.386697,128,127,1004.75,126.39960189101767,rows,64
0,512,rows/auto/0/8/64/64,2,318.5065,1607.502516,128,127,1007.6026,126.04175495378833,rows,64
0,512,rows/auto/0/8/64/64,3,248.2848,2062.147985,128,127,1006.0086,126.24146553021515,rows,64
1,512,auto/auto/0/0/32/0,1,233.1166,2196.325787,128,127,1012.2176,125.4670932416113,mixed:rows+tiled-avx512-fp32,128
1,512,auto/auto/0/0/32/0,2,233.1006,2196.476543,128,127,1007.3584,126.07230951764537,mixed:rows+tiled-avx512-fp32,128
1,512,auto/auto/0/0/32/0,3,233.5859,2191.913125,128,127,1012.7979,125.3952047096464,mixed:rows+tiled-avx512-fp32,128
2,512,auto/auto/0/0/32/0,1,239.1763,2140.680327,128,127,1010.9001,125.6306137470953,mixed:rows+tiled-avx512-fp32,128
2,512,auto/auto/0/0/32/0,2,233.8531,2189.40865,128,127,1022.4427,124.21233972329208,mixed:rows+tiled-avx512-fp32,128
2,512,auto/auto/0/0/32/0,3,231.9992,2206.904162,128,127,1012.3531,125.45029990030157,mixed:rows+tiled-avx512-fp32,128
3,512,rows/auto/0/8/64/64,1,245.037,2089.480364,128,127,1007.1107,126.10331714279275,rows,64
3,512,rows/auto/0/8/64/64,2,243.8339,2099.790062,128,127,1004.6866,126.40757824380259,rows,64
3,512,rows/auto/0/8/64/64,3,244.0878,2097.605861,128,127,1007.6672,126.03367461002998,rows,64
