experiment,case,median_tps,exe_sha256
isa-gqa,case0-p512-rows-auto-0-8-64-64,1725.539467,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case1-p512-tiled-avx2-0-8-64-64,2097.448609,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case2-p512-tiled-avx512-0-8-64-64,2135.019109,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case3-p512-tiled-avx512-1-8-64-64,2085.720676,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case4-p4096-rows-auto-0-8-64-64,1192.858308,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case5-p4096-tiled-avx2-0-8-64-64,1339.510999,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case6-p4096-tiled-avx512-0-8-64-64,1469.022315,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
isa-gqa,case7-p4096-tiled-avx512-1-8-64-64,1692.074778,4D25057590472B905BC4E07360891C3AEA85B3CEB264F2C307D0B20AF11BAFFF
tiles,case0-p4096-tiled-avx512-1-4-64-64,1579.851646,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
tiles,case1-p4096-tiled-avx512-1-8-32-64,1745.462926,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
tiles,case2-p4096-tiled-avx512-1-8-64-64,1694.080986,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
tiles,case3-p4096-tiled-avx512-1-8-128-64,1676.273797,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
tiles,case4-p4096-tiled-avx512-1-16-64-64,1716.68481,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
tiles,case5-p4096-tiled-avx512-1-16-128-64,1721.933545,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case0-p4096-tiled-avx512-1-8-64-64,1677.36011,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case1-p4096-tiled-avx512-1-8-64-128,1725.956387,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case2-p4096-tiled-avx512-1-8-64-256,1716.18513,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case3-p4096-tiled-avx512-1-8-64-512,1645.591498,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case4-p4096-tiled-avx512-1-8-64-1024,1559.330943,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
chunks,case5-p4096-tiled-avx512-1-8-64-2048,1503.780709,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case0-p512-tiled-avx512-1-8-32-64,1870.293673,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case1-p512-tiled-avx512-1-8-32-128,2206.612165,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case2-p512-tiled-avx512-1-16-32-64,2222.384271,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case3-p512-tiled-avx512-1-16-32-128,2231.26446,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case4-p512-tiled-avx2-1-8-32-128,2205.745191,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case5-p4096-tiled-avx512-1-8-32-64,1748.223767,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case6-p4096-tiled-avx512-1-8-32-128,1796.587046,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case7-p4096-tiled-avx512-1-16-32-64,1790.030865,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case8-p4096-tiled-avx512-1-16-32-128,1831.407166,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
combination,case9-p4096-tiled-avx2-1-8-32-128,1606.030519,E47E43667EC2614117B3E12A9B4129452DF0A255D2F08E72F7E0F9C245D15530
micro-v5,case0-p4096-tiled-avx512-1-16-32-128,1877.565322,9AF061309A03DA7226B0CBE96EA64898F588E380FEDB2F0A1F508F787BAB87BC
micro-v5,case1-p4096-tiled-avx2-1-8-32-128,1727.176091,9AF061309A03DA7226B0CBE96EA64898F588E380FEDB2F0A1F508F787BAB87BC
short,case0-p32-rows-auto-0-8-64-64,1897.071988,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case1-p32-auto-auto-0-0-32-0,1929.605577,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case2-p64-rows-auto-0-8-64-64,2063.990144,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case3-p64-auto-auto-0-0-32-0,2085.403803,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case4-p128-rows-auto-0-8-64-64,2172.640012,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case5-p128-auto-auto-0-0-32-0,2138.440642,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case6-p256-rows-auto-0-8-64-64,2184.050629,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case7-p256-auto-auto-0-0-32-0,2195.508299,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case8-p512-rows-auto-0-8-64-64,2125.387043,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
short,case9-p512-auto-auto-0-0-32-0,2236.200416,AEE78CD249FA4366EB114A238CCC2C6E32338B143B9B3310091ADA70A08BD161
