case,prompt_tokens,variant,run,prefill_ms,prefill_tps,generated_tokens,decode_forward_steps,decode_ms,decode_tps,kernel,chunk
0,512,rows/auto/0/8/64/64,1,336.9134,1519.678351,0,0,0.0,0,rows,64
0,512,rows/auto/0/8/64/64,2,243.848,2099.668646,0,0,0.0,0,rows,64
0,512,rows/auto/0/8/64/64,3,243.5518,2102.222197,0,0,0.0,0,rows,64
1,512,auto/auto/0/0/32/0,1,235.752,2171.773728,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
1,512,auto/auto/0/0/32/0,2,231.99,2206.991681,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
1,512,auto/auto/0/0/32/0,3,231.2811,2213.756334,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
10,2048,auto/auto/0/0/32/0,1,991.0982,2066.394632,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
10,2048,auto/auto/0/0/32/0,2,1067.9892,1917.622388,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
10,2048,auto/auto/0/0/32/0,3,984.6277,2079.973984,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
11,2048,rows/auto/0/8/64/64,1,1266.8925,1616.553891,0,0,0.0,0,rows,64
11,2048,rows/auto/0/8/64/64,2,1271.6561,1610.49831,0,0,0.0,0,rows,64
11,2048,rows/auto/0/8/64/64,3,1273.5384,1608.117981,0,0,0.0,0,rows,64
12,4096,rows/auto/0/8/64/64,1,3426.2622,1195.471847,0,0,0.0,0,rows,64
12,4096,rows/auto/0/8/64/64,2,3450.8961,1186.938083,0,0,0.0,0,rows,64
12,4096,rows/auto/0/8/64/64,3,3522.0984,1162.943091,0,0,0.0,0,rows,64
13,4096,auto/auto/0/0/32/0,1,2184.1524,1875.327015,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
13,4096,auto/auto/0/0/32/0,2,2161.1658,1895.273375,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
13,4096,auto/auto/0/0/32/0,3,2209.8446,1853.523999,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
14,4096,auto/auto/0/0/32/0,1,2209.4512,1853.854025,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
14,4096,auto/auto/0/0/32/0,2,2184.3952,1875.118568,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
14,4096,auto/auto/0/0/32/0,3,2174.3583,1883.774169,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
15,4096,rows/auto/0/8/64/64,1,3418.198,1198.2922,0,0,0.0,0,rows,64
15,4096,rows/auto/0/8/64/64,2,3723.2149,1100.124519,0,0,0.0,0,rows,64
15,4096,rows/auto/0/8/64/64,3,3449.3777,1187.460567,0,0,0.0,0,rows,64
16,8192,rows/auto/0/8/64/64,1,12145.8274,674.470312,0,0,0.0,0,rows,64
16,8192,rows/auto/0/8/64/64,2,11456.4192,715.057633,0,0,0.0,0,rows,64
16,8192,rows/auto/0/8/64/64,3,11184.4462,732.445742,0,0,0.0,0,rows,64
17,8192,auto/auto/0/0/32/0,1,5064.6993,1617.470163,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
17,8192,auto/auto/0/0/32/0,2,5045.4927,1623.627362,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
17,8192,auto/auto/0/0/32/0,3,5062.8658,1618.055924,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
18,8192,auto/auto/0/0/32/0,1,5068.0525,1616.399988,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
18,8192,auto/auto/0/0/32/0,2,5054.0336,1620.883565,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
18,8192,auto/auto/0/0/32/0,3,5029.0025,1628.951268,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
19,8192,rows/auto/0/8/64/64,1,10410.9792,786.861624,0,0,0.0,0,rows,64
19,8192,rows/auto/0/8/64/64,2,10507.2564,779.65167,0,0,0.0,0,rows,64
19,8192,rows/auto/0/8/64/64,3,10356.0912,791.032045,0,0,0.0,0,rows,64
2,512,auto/auto/0/0/32/0,1,231.4133,2212.491676,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
2,512,auto/auto/0/0/32/0,2,246.4713,2077.32097,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
2,512,auto/auto/0/0/32/0,3,235.1144,2177.663299,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
20,257,rows/auto/0/8/64/64,1,124.6877,2061.149576,0,0,0.0,0,rows,64
20,257,rows/auto/0/8/64/64,2,124.9362,2057.049918,0,0,0.0,0,rows,64
20,257,rows/auto/0/8/64/64,3,125.52,2047.482473,0,0,0.0,0,rows,64
21,257,auto/auto/0/0/32/0,1,123.9958,2072.650848,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
21,257,auto/auto/0/0/32/0,2,122.8793,2091.483269,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
21,257,auto/auto/0/0/32/0,3,123.3518,2083.471826,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
22,257,auto/auto/0/0/32/0,1,122.3185,2101.072201,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
22,257,auto/auto/0/0/32/0,2,123.983,2072.864828,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
22,257,auto/auto/0/0/32/0,3,122.1378,2104.180688,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
23,257,rows/auto/0/8/64/64,1,125.4412,2048.768666,0,0,0.0,0,rows,64
23,257,rows/auto/0/8/64/64,2,124.9499,2056.824375,0,0,0.0,0,rows,64
23,257,rows/auto/0/8/64/64,3,125.0703,2054.844356,0,0,0.0,0,rows,64
24,4097,rows/auto/0/8/64/64,1,3436.1141,1192.33526,0,0,0.0,0,rows,64
24,4097,rows/auto/0/8/64/64,2,3472.6736,1179.782632,0,0,0.0,0,rows,64
24,4097,rows/auto/0/8/64/64,3,3597.6514,1138.798495,0,0,0.0,0,rows,64
25,4097,auto/auto/0/0/32/0,1,2162.5026,1894.564196,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
25,4097,auto/auto/0/0/32/0,2,2160.1574,1896.621052,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
25,4097,auto/auto/0/0/32/0,3,2155.7421,1900.505631,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
26,4097,auto/auto/0/0/32/0,1,2183.1914,1876.610544,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
26,4097,auto/auto/0/0/32/0,2,2147.4682,1907.828018,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
26,4097,auto/auto/0/0/32/0,3,2164.0546,1893.205467,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
27,4097,rows/auto/0/8/64/64,1,3377.0291,1213.196534,0,0,0.0,0,rows,64
27,4097,rows/auto/0/8/64/64,2,3397.328,1205.947733,0,0,0.0,0,rows,64
27,4097,rows/auto/0/8/64/64,3,3408.2978,1202.066322,0,0,0.0,0,rows,64
3,512,rows/auto/0/8/64/64,1,242.7959,2108.767076,0,0,0.0,0,rows,64
3,512,rows/auto/0/8/64/64,2,277.8215,1842.909926,0,0,0.0,0,rows,64
3,512,rows/auto/0/8/64/64,3,272.9294,1875.943009,0,0,0.0,0,rows,64
4,1024,rows/auto/0/8/64/64,1,529.7895,1932.843139,0,0,0.0,0,rows,64
4,1024,rows/auto/0/8/64/64,2,532.1228,1924.367834,0,0,0.0,0,rows,64
4,1024,rows/auto/0/8/64/64,3,529.8089,1932.772364,0,0,0.0,0,rows,64
5,1024,auto/auto/0/0/32/0,1,473.3324,2163.384548,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
5,1024,auto/auto/0/0/32/0,2,480.2776,2132.100269,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
5,1024,auto/auto/0/0/32/0,3,473.6483,2161.941677,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
6,1024,auto/auto/0/0/32/0,1,471.0754,2173.74968,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
6,1024,auto/auto/0/0/32/0,2,472.4332,2167.502199,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
6,1024,auto/auto/0/0/32/0,3,480.4018,2131.549049,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
7,1024,rows/auto/0/8/64/64,1,530.5948,1929.909603,0,0,0.0,0,rows,64
7,1024,rows/auto/0/8/64/64,2,530.2068,1931.321892,0,0,0.0,0,rows,64
7,1024,rows/auto/0/8/64/64,3,529.6905,1933.20439,0,0,0.0,0,rows,64
8,2048,rows/auto/0/8/64/64,1,1278.0816,1602.401599,0,0,0.0,0,rows,64
8,2048,rows/auto/0/8/64/64,2,1295.3094,1581.089429,0,0,0.0,0,rows,64
8,2048,rows/auto/0/8/64/64,3,1284.217,1594.746059,0,0,0.0,0,rows,64
9,2048,auto/auto/0/0/32/0,1,986.5128,2075.999419,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
9,2048,auto/auto/0/0/32/0,2,991.7042,2065.131921,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
9,2048,auto/auto/0/0/32/0,3,996.9343,2054.297861,0,0,0.0,0,mixed:rows+tiled-avx512-fp32,128
