prompt_tokens,variant,samples,prefill_tps_median,prefill_tps_min,prefill_tps_max,decode_tps_median
257,auto/auto/0/0/32/0,6,2087.4775474999997,2072.650848,2104.180688,0.0
257,rows/auto/0/8/64/64,6,2055.8343655,2047.482473,2061.149576,0.0
512,auto/auto/0/0/32/0,6,2192.3274899999997,2077.32097,2213.756334,0.0
512,rows/auto/0/8/64/64,6,1987.8058275,1519.678351,2108.767076,0.0
1024,auto/auto/0/0/32/0,6,2162.6631125,2131.549049,2173.74968,0.0
1024,rows/auto/0/8/64/64,6,1932.047128,1924.367834,1933.20439,0.0
2048,auto/auto/0/0/32/0,6,2065.7632765,1917.622388,2079.973984,0.0
2048,rows/auto/0/8/64/64,6,1605.25979,1581.089429,1616.553891,0.0
4096,auto/auto/0/0/32/0,6,1875.2227915,1853.523999,1895.273375,0.0
4096,rows/auto/0/8/64/64,6,1187.199325,1100.124519,1198.2922,0.0
4097,auto/auto/0/0/32/0,6,1895.592624,1876.610544,1907.828018,0.0
4097,rows/auto/0/8/64/64,6,1197.200791,1138.798495,1213.196534,0.0
8192,auto/auto/0/0/32/0,6,1619.4697445000002,1616.399988,1628.951268,0.0
8192,rows/auto/0/8/64/64,6,756.048706,674.470312,791.032045,0.0
