run_label,prompt_name,cpu_threads,cpu_isa,cpu_q4_h128,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second
baseline-before,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,913.7156,9.9556,100.44598,1011.8042,126.50669
baseline-before,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,926.9477,9.8358,101.669412,997.1449,128.366499
baseline-before,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,914.7743,9.9222,100.7841,1022.362,125.200272
baseline-before,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,927.5962,233.2865,1097.363114,0,0
baseline-before,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,937.8028,226.2212,1131.635762,0,0
baseline-before,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,931.1624,229.6834,1114.577719,0,0
packed-after,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,570.8213,10.1397,98.622247,986.3108,129.776537
packed-after,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,574.42,10.2578,97.486791,998.7972,128.154144
packed-after,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,572.7124,9.8533,101.488841,992.316,128.991168
packed-after,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,569.4274,221.0061,1158.339068,0,0
packed-after,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,571.8214,215.0715,1190.30183,0,0
packed-after,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,569.2368,223.1553,1147.18315,0,0
packed-confirm,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,586.5529,10.6562,93.842083,988.9731,129.427181
packed-confirm,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,585.7755,10.0046,99.954021,1001.2493,127.840289
packed-confirm,decode1,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,1,128,571.7929,9.8924,101.087704,988.0903,129.542816
packed-confirm,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,567.4522,211.505,1210.373277,0,0
packed-confirm,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,570.8067,220.0997,1163.109264,0,0
packed-confirm,prefill256,12,avx512-vnni,model-q4-h128-cpu-x8.q35h,256,0,571.6598,213.2656,1200.381121,0,0
baseline-confirm,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,934.207,10.1481,98.540614,1000.7637,127.902321
baseline-confirm,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,913.2227,10.1145,98.867962,1002.0662,127.736072
baseline-confirm,decode1,12,avx512-vnni,model-q4-h128.q35h,1,128,911.0246,10.1628,98.398079,1089.449,117.490585
baseline-confirm,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,937.2892,231.5724,1105.485801,0,0
baseline-confirm,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,928.9279,234.2859,1092.682061,0,0
baseline-confirm,prefill256,12,avx512-vnni,model-q4-h128.q35h,256,0,924.9805,229.7038,1114.478733,0,0
