engine,version,run_index,input_tokens,output_tokens,prefill_time_ms,decode_time_ms,startup_or_load_time_ms,prefill_tokens_per_second,reported_decode_tokens_per_second,steady_state_decode_tokens,steady_state_decode_tokens_per_second,model_time_ms
qwen35x,11d060820f0cf77ab90d0b3e812eed1abc00507e,1,1024,512,39.817334,1263.522507,521.573021,25717.44255906234,405.21636707180556,511,404.4249288548685,1303.339841
qwen35x,11d060820f0cf77ab90d0b3e812eed1abc00507e,2,1024,512,39.759907,1264.13329,508.657994,25754.58740383875,405.0205813344256,511,404.2295255115068,1303.8931969999999
qwen35x,11d060820f0cf77ab90d0b3e812eed1abc00507e,3,1024,512,39.916039,1264.581339,514.325028,25653.84806844186,404.8770800341535,511,404.08630448721175,1304.497378
qwen35x,11d060820f0cf77ab90d0b3e812eed1abc00507e,4,1024,512,39.953569,1258.602902,506.172313,25629.750373489787,406.8002697168419,511,406.00573794005123,1298.556471
qwen35x,11d060820f0cf77ab90d0b3e812eed1abc00507e,5,1024,512,39.924254,1264.426168,517.022195,25648.569413469817,404.92676674815544,511,404.13589415685044,1304.350422
photon,moondream 2.0.1 / kestrel 0.5.0 / kernels 0.4.9,1,1024,512,31.400734999806446,1601.2521800003015,22512.743649000186,32610.701628682004,319.74975984101616,511,319.1252485913267,1632.652915000108
photon,moondream 2.0.1 / kestrel 0.5.0 / kernels 0.4.9,2,1024,512,31.03337799984729,1599.2304370001875,22512.743649000186,32996.73016598576,320.1539866639869,511,319.5286859087838,1630.2638150000348
photon,moondream 2.0.1 / kestrel 0.5.0 / kernels 0.4.9,3,1024,512,31.761088999701315,1607.5751010002932,22512.743649000186,32240.708119599734,318.4921187703234,511,317.8700638508501,1639.3361899999945
photon,moondream 2.0.1 / kestrel 0.5.0 / kernels 0.4.9,4,1024,512,31.419501000527816,1607.0000540003093,22512.743649000186,32591.224156704393,318.60608761367314,511,317.9838100988027,1638.4195550008371
photon,moondream 2.0.1 / kestrel 0.5.0 / kernels 0.4.9,5,1024,512,30.896070999915537,1608.9976820003358,22512.743649000186,33143.37282571624,318.21052679421643,511,317.58902185907147,1639.8937530002513
vllm,0.26.0,1,1024,512,25.417900999855192,1460.2216700004647,15334.884013000192,40286.568116141214,350.63169552869124,511,349.94686799836177,1485.6395710003198
vllm,0.26.0,2,1024,512,25.668849999419763,1458.4391650005273,15334.884013000192,39892.71042618377,351.06023774383135,511,350.3745732169879,1484.108014999947
vllm,0.26.0,3,1024,512,24.99645199986844,1461.1720490001971,15334.884013000192,40965.8138685198,350.4036368272542,511,349.719254724076,1486.1685010000656
vllm,0.26.0,4,1024,512,25.606393000089156,1458.623169999555,15334.884013000192,39990.01343127221,351.0159515703814,511,350.3303735399705,1484.2295629996443
vllm,0.26.0,5,1024,512,25.88115700018534,1463.6922139998205,15334.884013000192,39565.46455758013,349.80031669421913,511,349.11711295067573,1489.5733710000059
